,Retorno,Risco,Sharpe,PETZ3.SA Peso,VIVA3.SA Peso,VIIA3.SA Peso,AZUL4.SA Peso
259,-0.2633678159727531,0.5870814821000412,-0.44860521750858784,0.147,0.196,0.267,0.391
260,-0.30705289947417924,0.5124672635247531,-0.5991658810794419,0.263,0.352,0.206,0.179
261,-0.22938328352190399,0.5238047240972408,-0.43791755394577264,0.146,0.369,0.277,0.208
262,-0.3946991129280376,0.5173148388369587,-0.7629765923889036,0.383,0.306,0.19,0.12
263,-0.5543908686385579,0.5769055854576302,-0.9609733076146031,0.56,0.106,0.263,0.07
264,-0.23348999846636218,0.5726646543577881,-0.4077255278278146,0.132,0.275,0.168,0.426
265,-0.2483681032884521,0.4823065532147216,-0.5149590061196603,0.218,0.489,0.154,0.14
266,-0.5164032081584367,0.6347243200918434,-0.8135866104574566,0.457,0.008,0.504,0.031
267,-0.14918229711226524,0.542750637317742,-0.2748634213485586,0.031,0.434,0.466,0.069
268,-0.3614119250779141,0.5494052858250345,-0.6578238950416844,0.312,0.225,0.145,0.318
269,-0.4268373435710835,0.5034892450439417,-0.8477586120709124,0.457,0.378,0.117,0.049
270,-0.3679468668124477,0.5486573664466087,-0.6706314164620873,0.314,0.248,0.354,0.084
271,-0.5055864551297929,0.5662518550850202,-0.8928649868244253,0.498,0.113,0.127,0.261
272,-0.45021943852581103,0.6004898266711486,-0.749753648653183,0.386,0.037,0.218,0.358
273,-0.30007270268812564,0.5683325252826288,-0.5279879108430422,0.228,0.244,0.104,0.424
274,-0.40730194729956054,0.5442947951234177,-0.7483113028982863,0.374,0.239,0.302,0.086
275,-0.24395673948521385,0.5544427987182463,-0.4400034413814913,0.137,0.283,0.356,0.225
276,-0.5121526972130298,0.5913477526886087,-0.8660770162471871,0.487,0.044,0.133,0.336
277,-0.15705559352189058,0.5643563718220073,-0.27829152174687316,0.032,0.343,0.24,0.385
278,-0.44603854589569036,0.6156836933200194,-0.7244605480623781,0.358,0.006,0.395,0.241
279,-0.3788916432035389,0.5596363534016763,-0.6770318634600767,0.344,0.221,0.047,0.388
280,-0.12656677168239913,0.5323802698026503,-0.23773753247714563,0.019,0.447,0.204,0.33
281,-0.4302619425582936,0.5160705276681453,-0.8337270188677967,0.446,0.307,0.055,0.192
282,-0.35021281123743875,0.5883151928653158,-0.5952809233631566,0.25,0.122,0.36,0.268
283,-0.5296542473916821,0.5757628340366786,-0.919917396679239,0.524,0.118,0.291,0.067
284,-0.37383740392925663,0.5465291936997426,-0.6840209237471017,0.331,0.225,0.141,0.303
285,-0.12348804513034009,0.5173542950047831,-0.238691446698434,0.02,0.477,0.249,0.254
286,-0.4710094480567539,0.5149621487659329,-0.9146486769668251,0.513,0.32,0.025,0.143
287,-0.13978774249721856,0.5471554846940165,-0.2554808393730924,0.017,0.389,0.275,0.319
